Arquivo;exportado;pelo;Programa;RADIASOL;2;-;Irradiação;Média;(kWh/m²/dia);
Cidade:;Goiânia;A002;Azimute:;-6;Inclinação:;7;Latitude:;-16.64;Longitude:;49.22
Mês;Global;Direta;Difusa;Inclinada;;;;;;
1;5.49;2.44;2.97;5.41;;;;;;
2;5;4.99;2.73;5.01;;;;;;
3;4.96;6.96;2.64;5.09;;;;;;
4;4.75;9.86;2.32;5;;;;;;
5;4.49;12.42;1.9;4.77;;;;;;
6;4.32;15.94;1.57;4.68;;;;;;
7;4.63;18.77;1.64;4.98;;;;;;
8;5.08;22.33;1.82;5.38;;;;;;
9;5.47;26.59;2.15;5.66;;;;;;
10;5.26;28.37;2.67;5.31;;;;;;
11;5.08;31.48;2.88;5.03;;;;;;
12;5.36;33.04;2.65;5.22;;;;;;
